character,character_normalized,dialogue,context,character_state,dialogue_type,motivation,line_number,scene,movie,word_count,sentiment
HAN,Han Solo,Okay. You guys got yourself a ship. We’ll leave as soon as,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1268,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
BEN,Obi-Wan Kenobi,Ninety-four.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1270,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,1,neutral
HAN,Han Solo,Looks like somebody’s beginning to take an interest in your,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1271,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
TROOPER,Trooper,"All right, we’ll check it out.",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Positive/Agreeable,Statement,Supportive,1276,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,positive
HAN,Han Solo,Seventeen thousand! Those guys must really be desperate.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1279,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
BEN,Obi-Wan Kenobi,You’ll have to sell your speeder.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1282,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,neutral
LUKE,Luke Skywalker,That’s okay. I’m never coming back to this planet again. INT.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Resistant/Negative,Statement,Opposing,1283,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,negative
MOS,Mos,EISLEY – CANTINA,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1284,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
GREEDO,Greedo,"Going somewhere, Solo?",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Inquisitive,Question,Seeking information,1288,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
HAN,Han Solo,"Yes, Greedo. As a matter of fact, I was just going to see your","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Positive/Agreeable,Statement,Supportive,1289,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,14,positive
GREEDO,Greedo,It’s too late. You should have paid him when you had the,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1293,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
HAN,Han Solo,"Yeah, but this time I got the money.","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1296,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
GREEDO,Greedo,"If you give it to me, I might forget I found you.",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1297,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
HAN,Han Solo,I don’t have it with me. Tell Jabba…,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1298,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
GREEDO,Greedo,Jabba’s through with you. He has no time for smugglers,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Resistant/Negative,Statement,Opposing,1299,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,negative
HAN,Han Solo,Even I get boarded sometimes. Do you think I had a choice?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Inquisitive,Question,Seeking information,1301,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
GREEDO,Greedo,You can tell that to Jabba. He may only take your ship.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1303,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
HAN,Han Solo,Over my dead body.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1304,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
GREEDO,Greedo,That’s the idea I’ve been looking forward to killing you for a,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1305,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
HAN,Han Solo,"Yes, I’ll bet you have.","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Positive/Agreeable,Statement,Supportive,1307,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,positive
HAN,Han Solo,Sorry about the mess. EXT. SPACE,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1312,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,neutral
VADER,Darth Vader,Her resistance to the mind probe is considerable. It will be,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Dark Side presence, Imperial authority",Neutral,Statement,Conversational,1315,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
IMPERIAL,Imperial,OFFICER The final check-out is complete. All systems are,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1318,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
TARKIN,Grand Moff Tarkin,Perhaps she would respond to an alternative form of,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1320,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
VADER,Darth Vader,What do you mean?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Dark Side presence, Imperial authority",Inquisitive,Question,Seeking information,1322,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
TARKIN,Grand Moff Tarkin,I think it is time we demonstrate the full power of this,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1323,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
TROOPER,Trooper,With pleasure. EXT. TATOOINE – MOS EISLEY –,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1326,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
THREEPIO,C-3PO,"Lock the door, Artoo.","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Neutral,Statement,Conversational,1332,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
TROOPER,Trooper,"All right, check that side of the street. It’s secure. Move on",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Positive/Agreeable,Statement,Supportive,1336,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,positive
THREEPIO,C-3PO,I would much rather have gone with Master Luke than,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Neutral,Statement,Conversational,1339,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
THREEPIO,C-3PO,You watch your language! EXT. TATOOINE – MOS,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,1343,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
EISLEY,Eisley,– STREET – ALLEYWAY – USED SPEEDER LOT,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1344,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
LUKE,Luke Skywalker,"He says it’s the best he can do. Since the XP-38 came out,","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,1349,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,13,neutral
BEN,Obi-Wan Kenobi,It will be enough.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Resistant/Negative,Statement,Opposing,1351,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,negative
BEN,Obi-Wan Kenobi,"If the ship’s as fast as he’s boasting, we ought to do well. INT.",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1358,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,14,neutral
DOCKING,Docking,BAY 94 – DAY,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1359,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
JABBA,Jabba,"Come on out, Solo!",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1365,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
HAN,Han Solo,"I’ve been waiting for you, Jabba.","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1369,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,neutral
JABBA,Jabba,I expected you would be.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1370,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,neutral
HAN,Han Solo,I’m not the type to run.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Resistant/Negative,Statement,Opposing,1371,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,negative
JABBA,Jabba,"(fatherly-smooth) Han, my boy, there are times when you",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1372,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
HAN,Han Solo,You sent Greedo to blast me.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1375,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,neutral
JABBA,Jabba,"(mock surprise) Han, why you’re the best smuggler in the",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1376,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
HAN,Han Solo,I think he thought he was. Next time don’t send one of those,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1379,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,13,neutral
JABBA,Jabba,"Han, Han! If only you hadn’t had to dump that shipment of",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1381,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
HAN,Han Solo,"You know, even I get boarded sometimes, Jabba. I had no","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Resistant/Negative,Statement,Opposing,1385,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,negative
JABBA,Jabba,"(to his men) Put your blasters away. Han, my boy, I’m only",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1388,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
HAN,Han Solo,"Jabba, I’ll pay you because it’s my pleasure. EXT. DOCKING","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1394,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
PORT,Port,ENTRY – ALLEYWAY,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1395,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
EISLEY,Eisley,SPACEPORT – DOCKING BAY 94,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1401,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,neutral
LUKE,Luke Skywalker,What a piece of junk.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Neutral,Statement,Conversational,1406,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,neutral
HAN,Han Solo,She’ll make point five beyond the speed of light. She may not,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Resistant/Negative,Statement,Opposing,1408,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,negative
HAN,Han Solo,"We’re a little rushed, so if you’ll hurry aboard we’ll get out of","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1413,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,13,neutral
THREEPIO,C-3PO,"Hello, sir. EXT. TATOOINE – MOS EISLEY – STREET","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Neutral,Statement,Conversational,1422,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
TROOPER,Trooper,Which way?,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Inquisitive,Question,Seeking information,1424,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,2,neutral
TROOPER,Trooper,"All right, men. Load your weapons! INT. MOS EISLEY",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1426,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
SPACEPORT,Spaceport,– DOCKING BAY 94,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1427,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,4,neutral
TROOPER,Trooper,Stop that ship!,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1430,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
TROOPER,Trooper,Blast ‘em!,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1434,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,2,neutral
MILLENNIUM,Millennium,FALCON,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1438,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,1,neutral
HAN,Han Solo,"Chewie, get us out of here!","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1439,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,neutral
THREEPIO,C-3PO,"Oh, my. I’d forgotten how much I hate space travel. EXT.","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Protocol droid formality, worry",Neutral,Statement,Conversational,1441,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
TATOOINE,Tatooine,– MOS EISLEY – STREETS,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1442,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,neutral
MILLENNIUM,Millennium,FALCON – COCKPIT,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1446,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
PLANET,Planet,TATOOINE,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1449,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,1,neutral
MILLENNIUM,Millennium,FALCON – COCKPIT,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1451,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
HAN,Han Solo,It looks like an Imperial cruiser. Our passengers must be hotter,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1455,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
SPACE,Space,– PLANET TATOOINE,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1458,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
MILLENNIUM,Millennium,FALCON – COCKPIT,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1461,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
HAN,Han Solo,Stay sharp! There are two more coming in; they’re going to,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1465,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
LUKE,Luke Skywalker,Why don’t you outrun them? I thought you said this thing,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Inquisitive,Question,Seeking information,1467,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
HAN,Han Solo,"Watch your mouth, kid, or you’re going to find yourself","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1469,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
SPACE,Space,– PLANET TATOOINE,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1472,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
HAN,Han Solo,Here’s where the fun begins!,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1476,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,neutral
BEN,Obi-Wan Kenobi,How long before you can make the jump to light speed?,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Inquisitive,Question,Seeking information,1477,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
HAN,Han Solo,It’ll take a few moments to get the coordinates from the navicomputer.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1478,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,neutral
LUKE,Luke Skywalker,Are you kidding? At the rate they’re gaining…,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Inquisitive,Question,Seeking information,1480,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
HAN,Han Solo,"Traveling through hyperspace isn’t like dusting crops, boy!","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Urgent/Commanding,Exclamation,Assertive,1481,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
LUKE,Luke Skywalker,What’s that flashing?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Inquisitive,Question,Seeking information,1487,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
HAN,Han Solo,"We’re losing our deflector shield. Go strap yourself in, I’m going","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Smuggler confidence, roguish charm",Neutral,Statement,Conversational,1488,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
STAR,Star,– CONTROL ROOM,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Urgent/Commanding,Exclamation,Assertive,1496,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
MOTTI,Motti,We’ve entered the Alderaan system.,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1500,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,5,neutral
LEIA,Princess Leia,"Governor Tarkin, I should have expected to find you","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Rebel leadership, royal dignity",Resistant/Negative,Statement,Opposing,1503,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,negative
TARKIN,Grand Moff Tarkin,Charming to the last. You don’t know how hard I found it,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Resistant/Negative,Statement,Opposing,1506,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,negative
LEIA,Princess Leia,I’m surprised you had the courage to take the responsibility,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Rebel leadership, royal dignity",Neutral,Statement,Conversational,1508,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
TARKIN,Grand Moff Tarkin,"Princess Leia, before your execution I would like you to be",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1510,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
LEIA,Princess Leia,"The more you tighten your grip, Tarkin, the more star systems","Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Rebel leadership, royal dignity",Neutral,Statement,Conversational,1513,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
TARKIN,Grand Moff Tarkin,"Not after we demonstrate the power of this station. In a way,",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Resistant/Negative,Statement,Opposing,1515,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,12,negative
LEIA,Princess Leia,No! Alderaan is peaceful. We have no weapons. You can’t,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Rebel leadership, royal dignity",Urgent/Commanding,Exclamation,Assertive,1520,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,10,neutral
TARKIN,Grand Moff Tarkin,You would prefer another target? A military target? Then,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Inquisitive,Question,Seeking information,1522,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,9,neutral
TARKIN,Grand Moff Tarkin,I grow tired of asking this. So it’ll be the last time. Where,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1525,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,13,neutral
LEIA,Princess Leia,(softly) Dantooine.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Rebel leadership, royal dignity",Neutral,Statement,Conversational,1529,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,2,neutral
LEIA,Princess Leia,They’re on Dantooine.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Rebel leadership, royal dignity",Neutral,Statement,Conversational,1531,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
TARKIN,Grand Moff Tarkin,"There. You see Lord Vader, she can be",Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1532,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,8,neutral
LEIA,Princess Leia,What?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Rebel leadership, royal dignity",Inquisitive,Question,Seeking information,1535,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,1,neutral
TARKIN,Grand Moff Tarkin,You’re far too trusting. Dantooine is too remote to make an,Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Neutral,Statement,Conversational,1536,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,11,neutral
LEIA,Princess Leia,No! INT. DEATH STAR – BLAST CHAMBER,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Rebel leadership, royal dignity",Urgent/Commanding,Exclamation,Assertive,1539,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,7,neutral
VADER,Darth Vader,Commence primary ignition.,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Dark Side presence, Imperial authority",Neutral,Statement,Conversational,1540,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,3,neutral
LUKE,Luke Skywalker,Are you all right? What’s wrong?,"Exterior: TATOOINE – ANCHORHEAD SETTLEMENT – POWER | Jedi training, heroic journey",Inquisitive,Question,Seeking information,1551,EXT. TATOOINE – ANCHORHEAD SETTLEMENT – POWER,Star Wars A New Hope,6,neutral
